user_id,age,daily_screen_time_hours,social_media_hours,sleep_hours,exercise_minutes,study_work_hours,productivity_score,stress_level,platform,productivity_hours
84,49,4.6,5.06,8.95,115,4.31,48.16,High,Twitter,10.469565217391304
85,48,9.59,1.7,6.82,104,1.42,59.7,Medium,YouTube,6.225234619395204
86,38,10.24,6.34,8.24,63,4.85,92.17,Low,Instagram,9.0009765625
87,39,4.56,2.75,7.85,46,9.57,54.44,Medium,YouTube,11.93859649122807
88,37,10.23,2.08,6.91,91,5.2,24.42,Medium,YouTube,2.3870967741935485
89,42,2.14,4.69,8.04,1,3.72,74.12,Low,LinkedIn,34.63551401869159
90,16,10.22,3.58,4.72,29,9.54,38.17,Medium,YouTube,3.7348336594911937
91,29,2.68,7.4,6.82,37,5.55,29.23,Low,Instagram,10.906716417910447
92,18,1.91,7.1,6.54,4,3.58,25.59,Low,Snapchat,13.397905759162304
93,16,8.06,4.13,6.73,5,8.05,8.86,Medium,Twitter,1.0992555831265507
94,20,6.19,3.19,4.01,4,3.01,93.36,High,LinkedIn,15.082390953150242
95,41,10.99,2.94,4.66,117,3.23,56.77,High,Twitter,5.165605095541402
96,29,5.0,2.51,4.72,11,3.92,95.55,High,Instagram,19.11
97,42,4.16,4.58,6.61,3,4.55,86.32,Low,Snapchat,20.749999999999996
98,24,6.51,6.54,8.84,23,6.25,3.99,Medium,YouTube,0.6129032258064516
99,30,6.02,2.83,8.72,24,5.64,25.48,Low,YouTube,4.232558139534884
100,30,4.79,1.93,4.36,25,7.69,32.22,Medium,Instagram,6.726513569937369
101,41,8.63,4.07,4.83,54,7.45,49.49,Low,Instagram,5.734646581691773
102,28,9.36,1.02,3.22,45,1.41,71.9,Medium,Twitter,7.681623931623933
103,47,10.38,5.76,5.39,45,2.21,68.4,High,Twitter,6.589595375722544
104,47,11.7,4.39,8.01,42,2.94,98.74,High,Twitter,8.43931623931624
105,19,3.93,4.22,8.49,59,6.38,92.41,High,YouTube,23.513994910941474
106,45,8.88,2.75,4.42,32,9.06,19.44,High,Instagram,2.189189189189189
107,38,5.34,7.29,4.59,20,3.92,86.13,Medium,LinkedIn,16.129213483146067
108,30,8.45,1.18,4.33,86,9.67,84.45,Medium,YouTube,9.994082840236688
109,44,6.24,7.02,5.1,100,2.56,57.91,High,LinkedIn,9.280448717948717
110,28,11.93,3.33,7.83,36,9.32,34.47,Medium,Twitter,2.889354568315172
111,47,9.02,7.1,6.88,11,8.21,21.65,Low,Twitter,2.4002217294900223
112,22,11.48,5.97,7.72,100,4.5,22.03,Medium,Instagram,1.9189895470383276
113,37,10.18,1.28,6.5,20,2.86,34.44,Medium,Snapchat,3.3831041257367387
114,43,10.93,6.74,4.55,12,4.52,50.89,Low,Snapchat,4.655992680695334
115,17,9.96,5.62,4.37,106,2.92,58.8,High,Twitter,5.903614457831324
116,21,6.05,0.74,3.05,116,6.05,33.18,Low,Snapchat,5.4842975206611575
117,43,3.77,1.5,7.69,32,6.17,36.3,High,Snapchat,9.62864721485411
118,43,5.07,5.27,8.08,107,7.91,2.34,Low,Twitter,0.4615384615384615
119,35,1.22,5.47,7.61,69,5.75,1.21,High,Instagram,0.9918032786885246
120,45,6.76,6.1,3.45,106,4.11,90.81,Low,YouTube,13.433431952662723
121,26,6.56,5.9,7.57,75,9.2,2.39,Medium,Snapchat,0.364329268292683
122,43,6.78,5.45,3.27,60,1.7,4.28,Low,LinkedIn,0.6312684365781711
123,40,11.71,6.25,3.63,101,8.28,21.36,Low,Snapchat,1.8240819812126385
124,48,11.03,4.81,5.64,119,4.69,74.6,High,YouTube,6.763372620126926
125,16,2.78,2.46,5.86,29,2.63,68.21,High,YouTube,24.535971223021583
126,42,5.06,7.34,7.9,36,2.08,65.07,Medium,YouTube,12.859683794466402
127,28,5.66,0.64,7.08,81,2.99,57.92,Low,YouTube,10.23321554770318
128,18,4.97,3.25,3.92,15,2.1,20.97,Medium,LinkedIn,4.219315895372233
129,21,9.78,5.97,4.36,44,5.13,40.4,High,Instagram,4.130879345603272
130,23,6.76,3.7,4.71,70,4.15,48.33,Low,YouTube,7.149408284023669
131,42,7.29,0.69,3.74,109,4.21,58.66,Medium,YouTube,8.046639231824416
132,24,10.38,0.99,4.73,0,2.41,20.64,Medium,LinkedIn,1.9884393063583814
133,48,9.87,5.36,7.37,52,6.94,73.17,High,Snapchat,7.4133738601823715
134,39,2.45,7.74,4.45,27,6.47,31.58,Low,Snapchat,12.889795918367346
135,30,8.85,4.64,8.01,52,9.84,66.36,High,LinkedIn,7.498305084745763
136,47,5.79,4.3,5.82,43,2.51,51.88,High,Snapchat,8.960276338514682
137,47,4.24,2.89,4.94,66,8.51,59.63,Low,Twitter,14.06367924528302
138,39,1.55,2.43,5.47,113,1.3,41.9,Low,Instagram,27.032258064516128
139,27,6.36,0.66,7.26,106,1.66,45.06,High,Snapchat,7.084905660377358
140,17,4.91,2.55,6.1,115,6.83,86.95,High,LinkedIn,17.70875763747454
141,18,3.77,3.87,3.04,38,4.66,48.11,Low,Twitter,12.76127320954907
142,32,8.64,1.98,8.53,9,3.07,79.59,Medium,Instagram,9.211805555555555
143,17,9.46,1.16,3.4,50,1.02,40.11,Medium,YouTube,4.239957716701903
144,17,3.69,5.88,8.63,108,6.97,70.35,Low,Snapchat,19.0650406504065
145,43,1.54,7.21,3.17,13,4.97,24.06,Low,Instagram,15.623376623376622
146,38,10.34,7.53,7.63,78,2.54,91.78,Low,Instagram,8.876208897485494
147,47,1.11,5.13,6.21,5,9.75,96.76,Medium,YouTube,87.17117117117117
148,48,11.31,0.9,6.03,38,4.16,90.23,Low,Instagram,7.97789566755084
149,16,7.9,6.06,3.44,108,3.73,35.3,High,Snapchat,4.468354430379747
150,34,4.54,1.33,4.43,79,5.59,28.37,Low,Twitter,6.248898678414097
151,17,3.71,5.52,7.67,110,3.49,19.06,Low,Snapchat,5.137466307277628
152,41,1.1,6.35,8.35,81,3.45,87.43,High,LinkedIn,79.48181818181818
153,47,3.59,5.94,6.17,98,9.7,12.74,Low,Instagram,3.5487465181058497
154,21,2.52,7.64,5.12,47,3.35,64.59,High,YouTube,25.630952380952383
155,47,7.73,6.04,3.36,24,6.45,33.81,Medium,LinkedIn,4.373868046571798
156,19,2.83,5.7,7.09,96,1.34,19.6,Medium,Instagram,6.925795053003534
157,26,6.81,2.46,4.67,119,2.39,19.26,Low,Instagram,2.828193832599119
158,32,7.49,7.44,3.33,32,1.2,87.23,Medium,Twitter,11.646194926568759
159,39,4.28,1.85,7.0,82,5.81,86.12,Low,YouTube,20.121495327102803
160,20,1.39,7.29,5.91,101,5.42,27.93,Low,Snapchat,20.093525179856115
161,49,1.41,2.84,3.07,74,3.98,4.34,High,Instagram,3.0780141843971633
162,21,1.29,1.48,3.67,119,7.3,87.04,High,LinkedIn,67.47286821705427
163,37,9.13,6.7,7.2,102,6.63,6.68,Low,YouTube,0.7316538882803942
164,26,4.5,0.52,3.38,66,6.4,9.39,Medium,Snapchat,2.086666666666667
165,31,9.76,6.74,8.2,101,4.03,82.37,Low,LinkedIn,8.43954918032787
166,48,5.75,2.47,4.87,64,3.94,81.9,Medium,YouTube,14.243478260869566
167,24,5.98,7.14,3.53,39,8.86,21.05,High,Twitter,3.520066889632107
168,21,6.64,5.69,7.56,24,5.9,4.78,Medium,LinkedIn,0.7198795180722892
169,31,8.84,5.5,6.15,56,3.45,7.24,Low,YouTube,0.8190045248868779
170,44,4.01,3.24,4.84,31,5.89,45.89,Medium,Snapchat,11.443890274314215
171,18,2.34,0.95,5.44,45,3.4,42.41,Medium,Instagram,18.123931623931625
172,35,7.12,6.73,3.13,99,2.67,19.05,Low,YouTube,2.6755617977528092
173,34,4.6,1.78,6.98,3,3.54,90.99,High,LinkedIn,19.780434782608697
174,41,5.87,3.29,5.19,118,6.66,55.69,Low,Snapchat,9.487223168654173
175,18,8.12,5,7.28,22,5.64,80.93,High,Instagram,9.966748768472907
176,34,6.44,4.12,6.77,79,2.48,11.27,Medium,Snapchat,1.7499999999999998
177,35,7.82,1.99,6.91,74,9.17,97.37,High,Instagram,12.451406649616368
178,47,6.99,1.55,7.76,21,5.48,81.16,Medium,Twitter,11.610872675250357
179,22,9.14,1.42,6.79,102,8.14,29.49,High,Twitter,3.2264770240700216
180,48,8.77,6.97,5.51,32,3.98,3.06,Low,Snapchat,0.3489167616875713
181,33,6.88,0.74,5.34,40,9.62,17.29,Medium,Instagram,2.5130813953488373
182,16,8.47,7.83,3.72,61,7.77,42.43,Low,Instagram,5.009445100354191
183,26,10.61,1.99,7.68,37,5.09,1.3,Low,YouTube,0.12252591894439209
184,43,5.75,1.33,7.57,55,9.12,5.04,High,YouTube,0.8765217391304347
185,40,5.54,4.83,4.48,62,7.46,10.76,Low,Twitter,1.9422382671480143
186,38,9.41,1.1,8.18,76,4.87,81.16,High,Twitter,8.624867162592986
187,46,7.41,5.02,6.53,84,9.77,55.14,High,Instagram,7.441295546558704
188,45,1.78,6.88,5.87,75,3.69,19.91,Medium,Instagram,11.185393258426966
189,22,10.81,0.86,3.1,54,3.31,27.18,Low,LinkedIn,2.5143385753931544
190,31,1.34,6.5,5.3,50,9.05,64.58,Low,YouTube,48.19402985074626
191,41,9.23,3.46,6.84,89,7.37,32.54,Low,Instagram,3.5254604550379196
192,17,9.35,1.7,3.54,112,4.11,68.53,Low,Instagram,7.329411764705883
193,16,11.48,1.82,5.76,118,3.09,78.04,High,Twitter,6.7979094076655056
194,27,1.6,7.39,8.96,116,2.6,31.36,High,Snapchat,19.599999999999998
195,20,7.57,1.33,7.3,64,3.82,37.28,Low,Twitter,4.924702774108322
196,47,5.71,7,6.28,104,2.13,5.96,High,Instagram,1.043782837127846
197,24,4.64,4.58,6.2,56,2.31,82.16,High,YouTube,17.70689655172414
198,34,1.99,0.79,3.26,85,7.99,61.0,Low,Snapchat,30.65326633165829
199,31,7.19,3.98,8.74,26,1.57,88.94,High,LinkedIn,12.369958275382475
200,18,6.27,6.63,8.57,56,4.95,19.7,Low,Twitter,3.141945773524721
201,35,2.15,5.95,7.09,54,4.64,96.1,Medium,LinkedIn,44.69767441860465
202,39,7.74,4.17,3.59,95,9.64,70.97,High,YouTube,9.16925064599483
203,48,9.12,6.95,4.25,71,5.19,20.46,Medium,Snapchat,2.243421052631579
204,39,9.44,1.4,4.1,97,2.45,46.83,Medium,YouTube,4.960805084745763
205,26,10.96,7.32,6.12,81,1.8,70.2,Medium,Snapchat,6.405109489051094
206,23,5.5,6.85,4.25,3,7.59,2.68,High,LinkedIn,0.4872727272727273
207,35,11.48,5.81,7.17,64,2.33,78.25,Low,LinkedIn,6.816202090592334
208,40,10.52,6.63,6.27,55,9.44,94.82,Low,YouTube,9.013307984790874
209,40,4.26,4.58,3.11,52,6.03,9.07,Medium,Snapchat,2.1291079812206575
210,44,2.75,5.56,7.46,43,4.62,89.91,Medium,LinkedIn,32.694545454545455
211,33,5.79,4.7,4.13,15,7.16,46.98,Medium,Snapchat,8.113989637305698
212,33,5.42,3.17,7.95,93,2.79,52.04,Medium,LinkedIn,9.601476014760147
213,17,7.33,4.77,5.13,22,4.44,84.17,High,Instagram,11.482946793997272
214,31,7.42,2.43,5.03,30,1.3,59.38,High,LinkedIn,8.002695417789758
215,48,9.25,3.8,3.07,27,8.9,35.79,Medium,Instagram,3.869189189189189
216,19,6.61,2.61,8.93,49,4.83,73.53,High,YouTube,11.124054462934946
217,48,2.15,1.42,6.67,100,7.83,14.69,Medium,Instagram,6.832558139534884
218,29,10.44,2.91,5.54,15,9.25,66.96,Low,YouTube,6.413793103448276
219,36,4.41,6.89,3.58,40,6.88,77.69,Medium,Instagram,17.616780045351472
220,35,11.68,3.36,7.19,8,4.38,34.14,High,YouTube,2.922945205479452
221,23,2.3,6.11,4.7,1,6.58,97.05,Low,LinkedIn,42.19565217391305
222,22,11.54,1.81,8.93,109,4.24,64.42,High,Twitter,5.5823223570190645
223,18,2.0,3.68,8.7,42,6.11,10.47,High,Twitter,5.235
224,32,3.54,1.36,7.41,65,4.89,96.66,High,Twitter,27.30508474576271
225,48,1.51,1.54,8.83,95,2.35,74.66,Low,Instagram,49.44370860927152
226,27,8.76,5.13,3.63,79,8.02,69.87,Medium,Twitter,7.976027397260275
227,37,10.35,5.06,4.68,116,5.47,26.07,Low,YouTube,2.518840579710145
228,37,5.77,2.1,4.52,114,2.71,47.84,Low,Instagram,8.291161178509533
229,45,11.21,4.06,3.43,76,9.03,90.2,High,Instagram,8.046387154326494
230,23,7.49,6.97,8.83,48,8.68,31.51,Low,LinkedIn,4.2069425901201605
231,42,7.93,1.81,3.36,90,6.03,42.91,Low,YouTube,5.411097099621689
232,42,10.3,0.64,8.14,94,9.73,26.42,High,YouTube,2.5650485436893202
233,49,4.26,5.39,7.61,96,9.34,22.37,Medium,LinkedIn,5.251173708920188
234,36,4.9,0.9,5.26,20,9.07,5.33,Low,Snapchat,1.0877551020408163
235,45,10.97,7.85,3.11,18,2.2,73.95,High,LinkedIn,6.741112123974475
236,48,10.91,5.07,3.04,111,3.65,9.99,Medium,Snapchat,0.9156736938588451
237,43,11.74,4.03,4.22,56,4.69,53.6,Medium,Twitter,4.565587734241908
238,48,10.92,3.72,5.96,76,8.49,5.93,Medium,Twitter,0.543040293040293
239,20,2.4,4.8,5.75,59,8.84,98.4,Medium,Twitter,41.00000000000001
240,34,10.06,1.18,6.51,18,7.76,71.24,Low,Twitter,7.081510934393637
241,19,5.51,7.48,7.63,98,5.25,63.41,Low,LinkedIn,11.508166969147005
242,32,11.9,5.19,5.26,63,2.46,19.45,High,Twitter,1.634453781512605
243,43,6.2,1.88,3.96,34,1.32,53.28,Low,LinkedIn,8.593548387096774
244,45,7.09,4.72,7.8,32,7.29,50.85,Low,YouTube,7.172073342736248
245,44,6.83,1.5,5.0,66,9.95,36.51,Low,YouTube,5.345534407027818
246,21,4.54,0.63,4.72,111,4.11,16.46,Medium,Instagram,3.6255506607929515
247,39,1.83,5.23,7.59,84,6.12,37.35,Low,YouTube,20.40983606557377
248,44,10.85,5.36,8.6,103,8.3,61.3,High,Snapchat,5.649769585253456
249,46,9.83,4.88,8.49,86,2.68,49.25,Low,Snapchat,5.010172939979654
250,48,2.53,1.88,3.82,47,8.47,57.43,Medium,Twitter,22.699604743083004
251,36,9.54,5.03,6.02,59,6.63,57.63,High,Instagram,6.040880503144655
252,47,7.88,0.92,3.56,108,6.13,25.22,Medium,LinkedIn,3.200507614213198
253,38,5.5,5.07,8.77,44,7.86,11.99,Low,LinkedIn,2.18
254,48,3.79,4.66,4.29,74,3.17,52.65,High,LinkedIn,13.891820580474933
255,18,10.46,5.41,4.18,67,6.53,89.34,Medium,Twitter,8.541108986615678
256,33,8.7,7.22,8.33,67,3.16,99.54,Medium,Instagram,11.441379310344828
257,40,7.03,6.88,8.81,14,2.62,78.8,Medium,YouTube,11.209103840682788
258,46,7.71,7.85,7.19,91,6.61,22.89,Low,YouTube,2.9688715953307394
259,18,2.0,7.82,3.73,99,3.42,63.4,Low,Twitter,31.7
260,39,6.21,6.29,5.92,71,7.43,24.65,High,Snapchat,3.969404186795491
261,47,3.13,7.67,7.9,87,5.63,58.07,Medium,LinkedIn,18.552715654952078
262,37,3.29,7,6.43,97,7.25,48.59,Medium,Snapchat,14.768996960486323
263,38,8.27,5.96,3.8,14,9.02,38.77,High,YouTube,4.688029020556228
264,17,11.02,1.07,4.03,22,2.24,64.52,Medium,Twitter,5.85480943738657
265,42,5.44,0.87,8.18,59,1.6,85.91,Low,Snapchat,15.792279411764705
266,17,3.29,6.78,6.16,90,4.6,34.41,Low,YouTube,10.458966565349543
267,41,8.14,4.17,7.24,13,7.45,49.14,High,Twitter,6.036855036855036
268,32,10.58,6.61,5.24,116,8.98,46.13,Medium,LinkedIn,4.3601134215500945
269,48,9.23,2.85,6.19,1,1.31,25.67,Low,Instagram,2.781148429035753
270,24,10.56,3.48,8.86,98,8.14,42.69,Low,YouTube,4.042613636363636
271,44,6.9,5.75,4.98,42,1.68,3.14,Medium,Instagram,0.45507246376811594
272,41,9.27,7.36,7.05,70,6.23,52.23,High,Twitter,5.634304207119741
273,40,2.54,1.16,4.04,15,4.1,72.36,Low,YouTube,28.488188976377952
274,39,4.83,6.96,3.73,85,1.16,37.39,Low,LinkedIn,7.74120082815735
275,28,5.29,6.45,7.7,117,1.87,74.91,Medium,LinkedIn,14.160680529300567
276,22,6.62,2.87,8.06,27,4.18,75.31,High,Twitter,11.376132930513595
277,35,11.22,3.16,7.01,31,9.58,98.43,Low,Instagram,8.772727272727273
278,16,10.62,0.85,3.95,70,2.39,55.05,Medium,Snapchat,5.18361581920904
279,23,2.48,0.62,4.44,85,3.45,41.0,Low,LinkedIn,16.532258064516128
280,31,2.9,4.08,8.47,106,9.95,64.31,Low,Instagram,22.175862068965518
281,29,4.93,1.22,4.73,1,5.33,63.03,Low,Instagram,12.784989858012171
282,27,4.2,1.96,7.91,71,3.36,98.75,Low,YouTube,23.51190476190476
283,38,7.76,6.85,4.72,6,6.54,71.06,High,Snapchat,9.157216494845361
284,30,10.93,4.78,8.64,37,4.92,31.35,High,Twitter,2.8682525160109793
285,43,11.59,5.25,8.49,47,8.72,19.56,Medium,LinkedIn,1.6876617773943055
286,49,8.19,1.91,3.26,84,1.07,79.48,Low,Snapchat,9.704517704517706
287,17,10.22,6.71,7.62,106,9.97,18.8,High,Instagram,1.8395303326810175
288,47,6.78,7.01,4.02,85,1.6,63.12,High,Snapchat,9.309734513274336
289,38,3.29,4.42,4.29,98,5.83,14.1,Medium,YouTube,4.285714285714286
290,37,6.77,7.34,5.76,81,7.28,72.15,Medium,YouTube,10.657311669128509
291,40,7.11,6.84,6.46,72,5.95,78.51,Medium,Instagram,11.042194092827005
292,37,9.17,5.98,4.95,112,3.71,99.06,High,Instagram,10.802617230098146
293,37,3.42,6.01,6.45,1,8.7,95.47,Low,Twitter,27.915204678362574
294,21,5.05,1.29,4.02,41,4.87,71.67,Medium,LinkedIn,14.192079207920793
295,30,5.0,2.53,3.13,41,3.71,28.48,High,LinkedIn,5.696
296,48,11.55,1,6.43,80,7.92,5.33,Medium,Snapchat,0.4614718614718614
297,23,5.88,0.57,6.1,103,2.31,55.97,Low,LinkedIn,9.518707482993197
298,20,9.31,1.69,7.14,19,2.85,76.83,Medium,Instagram,8.252416756176155
299,19,9.26,7.1,6.9,5,3.27,2.05,High,Snapchat,0.22138228941684665
300,21,3.92,2.3,8.38,10,4.91,52.96,High,LinkedIn,13.510204081632654
301,47,7.29,7.78,5.76,68,1.18,88.41,Medium,Twitter,12.127572016460904
302,45,10.84,4.98,3.05,119,9.93,64.08,Medium,Instagram,5.911439114391144
303,31,6.23,2.28,6.78,73,6.4,68.69,Low,Instagram,11.025682182985552
304,28,11.4,4.23,7.05,86,9.74,47.96,Medium,LinkedIn,4.207017543859649
305,45,3.36,2.14,6.13,96,8.27,94.37,Medium,Twitter,28.086309523809526
306,34,1.82,7.88,7.14,39,2.21,38.09,Low,Twitter,20.92857142857143
307,32,10.81,6.85,4.94,35,2.88,38.53,Low,YouTube,3.5642923219241442
308,34,10.32,0.7,3.89,102,1.31,52.26,Low,Instagram,5.063953488372093
309,43,11.92,7.61,6.99,50,8.5,59.01,Low,Instagram,4.950503355704698
310,41,8.47,5.91,4.47,46,6.34,54.21,High,LinkedIn,6.400236127508855
311,41,11.3,1.12,5.74,97,2.94,82.04,Medium,LinkedIn,7.260176991150443
312,38,10.1,5.53,5.95,16,9.73,83.62,High,Twitter,8.27920792079208
313,24,10.29,5.35,5.86,25,7.63,14.03,Medium,Instagram,1.3634596695821186
314,27,7.26,2.14,6.59,52,7.35,60.02,High,LinkedIn,8.267217630853995
315,16,5.21,6.19,3.18,47,3.4,98.41,High,Twitter,18.888675623800385
316,16,11.28,1.15,8.94,26,3.82,60.37,Medium,Instagram,5.351950354609929
317,49,5.75,4.17,7.3,45,7.01,69.13,High,YouTube,12.022608695652172
318,47,6.93,0.57,5.55,66,6.34,86.28,Low,Instagram,12.45021645021645
319,40,5.91,7.77,4.15,18,6.83,86.79,High,YouTube,14.68527918781726
320,16,7.21,6.14,3.48,71,8.91,2.7,High,Instagram,0.37447988904299584
321,31,6.18,1.69,7.03,80,2.44,24.7,Medium,Twitter,3.9967637540453076
322,20,1.53,3.06,4.9,113,2.05,86.42,High,Instagram,56.48366013071895
323,37,10.7,1.7,4.38,64,6.08,67.04,High,LinkedIn,6.265420560747665
324,44,5.89,6.25,5.28,70,5.5,63.54,High,Twitter,10.787775891341257
