user_id,age,daily_screen_time_hours,social_media_hours,sleep_hours,exercise_minutes,study_work_hours,productivity_score,stress_level,platform,prouductivity_score_hours,productivity_score_hours
22,42,10.77,2.98,5.72,5,5.05,28.98,High,Instagram,5.738613861386139,5.738613861386139
23,43,11.53,3.08,3.48,23,3.54,94.08,Medium,YouTube,26.576271186440678,26.576271186440678
24,31,10.54,2.68,4.55,96,9.35,30.67,High,Snapchat,3.280213903743316,3.280213903743316
25,30,1.02,3.92,4.4,59,5.52,36.6,Medium,Instagram,6.630434782608696,6.630434782608696
26,18,5.18,3.03,4.43,27,5.7,5.37,High,Snapchat,0.9421052631578948,0.9421052631578948
27,22,10.0,4.61,5.96,91,1.69,26.07,Low,YouTube,15.42603550295858,15.42603550295858
28,36,5.03,6.3,6.5,73,9.08,26.67,Low,Instagram,2.9372246696035242,2.9372246696035242
29,24,7.62,5.56,3.74,22,3.15,71.88,Low,Twitter,22.81904761904762,22.81904761904762
30,33,7.67,2.71,8.34,78,4.73,51.07,Medium,LinkedIn,10.797040169133192,10.797040169133192
31,19,5.02,4.47,6.72,45,9.87,16.94,Medium,Instagram,1.716312056737589,1.716312056737589
32,40,10.95,6.8,6.58,111,2.03,79.76,Medium,Instagram,39.290640394088676,39.290640394088676
33,29,6.54,1.01,8.92,36,7.47,61.54,High,Twitter,8.238286479250334,8.238286479250334
34,24,6.11,1.09,6.77,13,3.34,27.58,Medium,YouTube,8.257485029940119,8.257485029940119
35,41,11.97,4.67,8.57,47,4.78,23.15,Medium,LinkedIn,4.843096234309622,4.843096234309622
36,17,6.43,5.29,4.72,77,4.76,92.57,Low,YouTube,19.44747899159664,19.44747899159664
37,35,2.96,2.09,4.44,70,9.39,64.07,Medium,Twitter,6.823216187433439,6.823216187433439
38,43,6.64,6.09,6.1,114,1.09,80.93,High,Instagram,74.24770642201835,74.24770642201835
39,22,9.95,5.35,6.05,35,4.3,23.33,Low,LinkedIn,5.425581395348837,5.425581395348837
40,23,9.55,7.42,4.36,81,8.67,59.28,Low,YouTube,6.837370242214533,6.837370242214533
41,29,9.67,1.77,7.2,59,9.19,6.3,High,Instagram,0.6855277475516867,0.6855277475516867
42,32,8.79,6.14,3.18,53,3.8,59.88,Medium,Snapchat,15.757894736842106,15.757894736842106
43,19,3.8,1.13,7.14,116,3.18,21.15,Low,Twitter,6.650943396226414,6.650943396226414
44,17,10.48,4.74,5.74,78,5.15,67.24,Low,YouTube,13.056310679611649,13.056310679611649
45,21,10.83,4.64,7.13,112,7.71,93.26,Medium,Snapchat,12.095979247730222,12.095979247730222
46,19,3.14,3.41,5.86,62,2.39,46.41,High,YouTube,19.418410041841003,19.418410041841003
47,44,2.44,6.83,8.86,96,8.06,31.23,Medium,YouTube,3.8746898263027294,3.8746898263027294
48,33,11.73,0.53,5.01,119,5.61,13.2,High,Snapchat,2.352941176470588,2.352941176470588
49,41,10.55,4.4,8.9,110,2.27,67.39,Medium,Twitter,29.687224669603523,29.687224669603523
50,49,10.83,2.13,3.39,47,7.05,58.83,Low,Twitter,8.34468085106383,8.34468085106383
51,25,10.75,6.08,7.1,119,6.65,54.91,Medium,Snapchat,8.257142857142856,8.257142857142856
52,29,6.96,0.82,5.73,21,6.6,93.66,Medium,Twitter,14.190909090909091,14.190909090909091
53,46,8.11,6.74,7.93,42,7.79,97.84,Low,LinkedIn,12.559691912708601,12.559691912708601
54,30,7.0,6.79,7.74,40,2.63,71.98,Low,LinkedIn,27.368821292775667,27.368821292775667
55,23,1.56,6.75,7.8,16,7.28,20.4,High,Instagram,2.802197802197802,2.802197802197802
56,29,9.2,1.64,3.57,62,8.99,94.73,High,Snapchat,10.537263626251391,10.537263626251391
57,38,6.56,5.23,7.93,89,5.77,35.15,Medium,LinkedIn,6.091854419410746,6.091854419410746
58,36,8.12,0.61,4.28,78,5.37,8.84,Medium,YouTube,1.6461824953445066,1.6461824953445066
59,31,6.53,6.86,3.15,103,8.18,24.87,Low,Twitter,3.040342298288509,3.040342298288509
60,33,6.41,5.92,4.31,17,2.32,83.21,Low,LinkedIn,35.866379310344826,35.866379310344826
61,39,2.89,4.48,5.88,71,4.07,21.17,Medium,LinkedIn,5.201474201474202,5.201474201474202
62,41,4.07,5.98,7.45,2,8.68,40.11,Medium,Snapchat,4.620967741935484,4.620967741935484
63,40,2.75,1.21,4.31,53,5.5,28.08,Medium,YouTube,5.1054545454545455,5.1054545454545455
64,44,3.15,4.46,3.68,118,8.56,5.73,High,LinkedIn,0.669392523364486,0.669392523364486
65,30,11.7,2.68,6.88,114,3.27,56.61,Medium,YouTube,17.31192660550459,17.31192660550459
66,16,2.68,7.79,8.9,13,4.51,63.25,Low,Twitter,14.02439024390244,14.02439024390244
67,40,3.96,6.93,6.61,33,8.41,79.32,Medium,Twitter,9.431629013079666,9.431629013079666
68,22,7.5,6,7.15,96,2.47,42.05,Low,Twitter,17.024291497975707,17.024291497975707
69,24,7.71,7.5,6.37,100,9.05,14.99,Low,Instagram,1.656353591160221,1.656353591160221
70,39,2.69,3.1,7.69,112,3.79,65.56,High,Snapchat,17.298153034300793,17.298153034300793
71,16,9.73,7.26,8.85,0,9.75,89.12,Low,Twitter,9.140512820512821,9.140512820512821
72,23,9.64,2.94,6.26,116,8.45,12.86,High,Instagram,1.5218934911242603,1.5218934911242603
73,39,3.61,6,5.5,47,5.1,19.08,Medium,Instagram,3.7411764705882353,3.7411764705882353
74,26,4.18,6.02,8.16,98,7.68,33.59,Low,Snapchat,4.373697916666667,4.373697916666667
75,32,11.32,0.64,8.82,9,6.0,65.38,Medium,Twitter,10.896666666666667,10.896666666666667
76,23,10.08,3.21,3.78,82,8.68,52.86,Medium,Snapchat,6.089861751152074,6.089861751152074
77,48,8.68,0.65,6.47,10,5.66,71.52,Low,Snapchat,12.636042402826854,12.636042402826854
78,20,1.9,7.98,7.75,118,9.89,4.1,Medium,LinkedIn,0.4145601617795753,0.4145601617795753
79,43,5.6,1.42,6.2,98,2.2,81.24,Low,Snapchat,36.92727272727272,36.92727272727272
80,22,7.15,4.57,5.46,65,7.09,98.76,Low,Instagram,13.92947813822285,13.92947813822285
81,24,3.06,6.43,6.93,2,3.21,5.62,Medium,Twitter,1.750778816199377,1.750778816199377
82,23,5.93,2.01,4.62,14,2.72,50.05,Low,Snapchat,18.400735294117645,18.400735294117645
83,27,7.61,4.14,5.09,58,4.67,74.25,High,Instagram,15.899357601713062,15.899357601713062
84,49,4.6,5.06,8.95,115,4.31,48.16,High,Twitter,11.174013921113689,11.174013921113689
85,48,9.59,1.7,6.82,104,1.42,59.7,Medium,YouTube,42.04225352112677,42.04225352112677
86,38,10.24,6.34,8.24,63,4.85,92.17,Low,Instagram,19.004123711340206,19.004123711340206
87,39,4.56,2.75,7.85,46,9.57,54.44,Medium,YouTube,5.688610240334378,5.688610240334378
88,37,10.23,2.08,6.91,91,5.2,24.42,Medium,YouTube,4.696153846153846,4.696153846153846
89,42,2.14,4.69,8.04,1,3.72,74.12,Low,LinkedIn,19.9247311827957,19.9247311827957
90,16,10.22,3.58,4.72,29,9.54,38.17,Medium,YouTube,4.001048218029351,4.001048218029351
91,29,2.68,7.4,6.82,37,5.55,29.23,Low,Instagram,5.266666666666667,5.266666666666667
92,18,1.91,7.1,6.54,4,3.58,25.59,Low,Snapchat,7.14804469273743,7.14804469273743
93,16,8.06,4.13,6.73,5,8.05,8.86,Medium,Twitter,1.1006211180124221,1.1006211180124221
94,20,6.19,3.19,4.01,4,3.01,93.36,High,LinkedIn,31.016611295681066,31.016611295681066
95,41,10.99,2.94,4.66,117,3.23,56.77,High,Twitter,17.575851393188856,17.575851393188856
96,29,5.0,2.51,4.72,11,3.92,95.55,High,Instagram,24.375,24.375
97,42,4.16,4.58,6.61,3,4.55,86.32,Low,Snapchat,18.97142857142857,18.97142857142857
98,24,6.51,6.54,8.84,23,6.25,3.99,Medium,YouTube,0.6384000000000001,0.6384000000000001
99,30,6.02,2.83,8.72,24,5.64,25.48,Low,YouTube,4.517730496453901,4.517730496453901
100,30,4.79,1.93,4.36,25,7.69,32.22,Medium,Instagram,4.189856957087126,4.189856957087126
101,41,8.63,4.07,4.83,54,7.45,49.49,Low,Instagram,6.642953020134228,6.642953020134228
102,28,9.36,1.02,3.22,45,1.41,71.9,Medium,Twitter,50.99290780141845,50.99290780141845
103,47,10.38,5.76,5.39,45,2.21,68.4,High,Twitter,30.950226244343895,30.950226244343895
104,47,11.7,4.39,8.01,42,2.94,98.74,High,Twitter,33.585034013605444,33.585034013605444
105,19,3.93,4.22,8.49,59,6.38,92.41,High,YouTube,14.484326018808778,14.484326018808778
106,45,8.88,2.75,4.42,32,9.06,19.44,High,Instagram,2.1456953642384105,2.1456953642384105
107,38,5.34,7.29,4.59,20,3.92,86.13,Medium,LinkedIn,21.971938775510203,21.971938775510203
108,30,8.45,1.18,4.33,86,9.67,84.45,Medium,YouTube,8.733195449844882,8.733195449844882
109,44,6.24,7.02,5.1,100,2.56,57.91,High,LinkedIn,22.621093749999996,22.621093749999996
110,28,11.93,3.33,7.83,36,9.32,34.47,Medium,Twitter,3.698497854077253,3.698497854077253
111,47,9.02,7.1,6.88,11,8.21,21.65,Low,Twitter,2.637028014616321,2.637028014616321
112,22,11.48,5.97,7.72,100,4.5,22.03,Medium,Instagram,4.895555555555556,4.895555555555556
113,37,10.18,1.28,6.5,20,2.86,34.44,Medium,Snapchat,12.041958041958042,12.041958041958042
114,43,10.93,6.74,4.55,12,4.52,50.89,Low,Snapchat,11.258849557522126,11.258849557522126
115,17,9.96,5.62,4.37,106,2.92,58.8,High,Twitter,20.136986301369863,20.136986301369863
116,21,6.05,0.74,3.05,116,6.05,33.18,Low,Snapchat,5.4842975206611575,5.4842975206611575
117,43,3.77,1.5,7.69,32,6.17,36.3,High,Snapchat,5.883306320907617,5.883306320907617
118,43,5.07,5.27,8.08,107,7.91,2.34,Low,Twitter,0.29582806573957016,0.29582806573957016
119,35,1.22,5.47,7.61,69,5.75,1.21,High,Instagram,0.21043478260869564,0.21043478260869564
120,45,6.76,6.1,3.45,106,4.11,90.81,Low,YouTube,22.094890510948904,22.094890510948904
121,26,6.56,5.9,7.57,75,9.2,2.39,Medium,Snapchat,0.25978260869565223,0.25978260869565223
122,43,6.78,5.45,3.27,60,1.7,4.28,Low,LinkedIn,2.51764705882353,2.51764705882353
123,40,11.71,6.25,3.63,101,8.28,21.36,Low,Snapchat,2.579710144927536,2.579710144927536
124,48,11.03,4.81,5.64,119,4.69,74.6,High,YouTube,15.906183368869934,15.906183368869934
125,16,2.78,2.46,5.86,29,2.63,68.21,High,YouTube,25.935361216730037,25.935361216730037
126,42,5.06,7.34,7.9,36,2.08,65.07,Medium,YouTube,31.283653846153843,31.283653846153843
127,28,5.66,0.64,7.08,81,2.99,57.92,Low,YouTube,19.371237458193978,19.371237458193978
128,18,4.97,3.25,3.92,15,2.1,20.97,Medium,LinkedIn,9.985714285714284,9.985714285714284
129,21,9.78,5.97,4.36,44,5.13,40.4,High,Instagram,7.875243664717349,7.875243664717349
130,23,6.76,3.7,4.71,70,4.15,48.33,Low,YouTube,11.645783132530118,11.645783132530118
131,42,7.29,0.69,3.74,109,4.21,58.66,Medium,YouTube,13.933491686460806,13.933491686460806
132,24,10.38,0.99,4.73,0,2.41,20.64,Medium,LinkedIn,8.564315352697095,8.564315352697095
133,48,9.87,5.36,7.37,52,6.94,73.17,High,Snapchat,10.543227665706052,10.543227665706052
134,39,2.45,7.74,4.45,27,6.47,31.58,Low,Snapchat,4.8809891808346215,4.8809891808346215
135,30,8.85,4.64,8.01,52,9.84,66.36,High,LinkedIn,6.7439024390243905,6.7439024390243905
136,47,5.79,4.3,5.82,43,2.51,51.88,High,Snapchat,20.66932270916335,20.66932270916335
137,47,4.24,2.89,4.94,66,8.51,59.63,Low,Twitter,7.00705052878966,7.00705052878966
138,39,1.55,2.43,5.47,113,1.3,41.9,Low,Instagram,32.230769230769226,32.230769230769226
139,27,6.36,0.66,7.26,106,1.66,45.06,High,Snapchat,27.144578313253014,27.144578313253014
140,17,4.91,2.55,6.1,115,6.83,86.95,High,LinkedIn,12.73060029282577,12.73060029282577
141,18,3.77,3.87,3.04,38,4.66,48.11,Low,Twitter,10.324034334763947,10.324034334763947
142,32,8.64,1.98,8.53,9,3.07,79.59,Medium,Instagram,25.925081433224758,25.925081433224758
143,17,9.46,1.16,3.4,50,1.02,40.11,Medium,YouTube,39.3235294117647,39.3235294117647
144,17,3.69,5.88,8.63,108,6.97,70.35,Low,Snapchat,10.093256814921089,10.093256814921089
145,43,1.54,7.21,3.17,13,4.97,24.06,Low,Instagram,4.841046277665996,4.841046277665996
146,38,10.34,7.53,7.63,78,2.54,91.78,Low,Instagram,36.13385826771653,36.13385826771653
147,47,1.11,5.13,6.21,5,9.75,96.76,Medium,YouTube,9.924102564102565,9.924102564102565
148,48,11.31,0.9,6.03,38,4.16,90.23,Low,Instagram,21.689903846153847,21.689903846153847
149,16,7.9,6.06,3.44,108,3.73,35.3,High,Snapchat,9.463806970509383,9.463806970509383
150,34,4.54,1.33,4.43,79,5.59,28.37,Low,Twitter,5.075134168157424,5.075134168157424
151,17,3.71,5.52,7.67,110,3.49,19.06,Low,Snapchat,5.4613180515759305,5.4613180515759305
152,41,1.1,6.35,8.35,81,3.45,87.43,High,LinkedIn,25.34202898550725,25.34202898550725
153,47,3.59,5.94,6.17,98,9.7,12.74,Low,Instagram,1.3134020618556703,1.3134020618556703
154,21,2.52,7.64,5.12,47,3.35,64.59,High,YouTube,19.280597014925373,19.280597014925373
155,47,7.73,6.04,3.36,24,6.45,33.81,Medium,LinkedIn,5.24186046511628,5.24186046511628
156,19,2.83,5.7,7.09,96,1.34,19.6,Medium,Instagram,14.626865671641792,14.626865671641792
157,26,6.81,2.46,4.67,119,2.39,19.26,Low,Instagram,8.05857740585774,8.05857740585774
158,32,7.49,7.44,3.33,32,1.2,87.23,Medium,Twitter,72.69166666666668,72.69166666666668
159,39,4.28,1.85,7.0,82,5.81,86.12,Low,YouTube,14.822719449225476,14.822719449225476
160,20,1.39,7.29,5.91,101,5.42,27.93,Low,Snapchat,5.1531365313653135,5.1531365313653135
161,49,1.41,2.84,3.07,74,3.98,4.34,High,Instagram,1.0904522613065326,1.0904522613065326
162,21,1.29,1.48,3.67,119,7.3,87.04,High,LinkedIn,11.923287671232877,11.923287671232877
163,37,9.13,6.7,7.2,102,6.63,6.68,Low,YouTube,1.0075414781297134,1.0075414781297134
164,26,4.5,0.52,3.38,66,6.4,9.39,Medium,Snapchat,1.4671875,1.4671875
165,31,9.76,6.74,8.2,101,4.03,82.37,Low,LinkedIn,20.439205955334987,20.439205955334987
166,48,5.75,2.47,4.87,64,3.94,81.9,Medium,YouTube,20.786802030456855,20.786802030456855
167,24,5.98,7.14,3.53,39,8.86,21.05,High,Twitter,2.3758465011286685,2.3758465011286685
168,21,6.64,5.69,7.56,24,5.9,4.78,Medium,LinkedIn,0.8101694915254237,0.8101694915254237
169,31,8.84,5.5,6.15,56,3.45,7.24,Low,YouTube,2.0985507246376813,2.0985507246376813
170,44,4.01,3.24,4.84,31,5.89,45.89,Medium,Snapchat,7.791171477079796,7.791171477079796
171,18,2.34,0.95,5.44,45,3.4,42.41,Medium,Instagram,12.473529411764705,12.473529411764705
172,35,7.12,6.73,3.13,99,2.67,19.05,Low,YouTube,7.134831460674158,7.134831460674158
173,34,4.6,1.78,6.98,3,3.54,90.99,High,LinkedIn,25.703389830508474,25.703389830508474
174,41,5.87,3.29,5.19,118,6.66,55.69,Low,Snapchat,8.361861861861861,8.361861861861861
175,18,8.12,5,7.28,22,5.64,80.93,High,Instagram,14.349290780141846,14.349290780141846
176,34,6.44,4.12,6.77,79,2.48,11.27,Medium,Snapchat,4.544354838709677,4.544354838709677
177,35,7.82,1.99,6.91,74,9.17,97.37,High,Instagram,10.618320610687023,10.618320610687023
178,47,6.99,1.55,7.76,21,5.48,81.16,Medium,Twitter,14.810218978102188,14.810218978102188
179,22,9.14,1.42,6.79,102,8.14,29.49,High,Twitter,3.622850122850122,3.622850122850122
180,48,8.77,6.97,5.51,32,3.98,3.06,Low,Snapchat,0.7688442211055276,0.7688442211055276
181,33,6.88,0.74,5.34,40,9.62,17.29,Medium,Instagram,1.7972972972972974,1.7972972972972974
182,16,8.47,7.83,3.72,61,7.77,42.43,Low,Instagram,5.460746460746461,5.460746460746461
183,26,10.61,1.99,7.68,37,5.09,1.3,Low,YouTube,0.2554027504911591,0.2554027504911591
184,43,5.75,1.33,7.57,55,9.12,5.04,High,YouTube,0.5526315789473685,0.5526315789473685
185,40,5.54,4.83,4.48,62,7.46,10.76,Low,Twitter,1.4423592493297588,1.4423592493297588
186,38,9.41,1.1,8.18,76,4.87,81.16,High,Twitter,16.6652977412731,16.6652977412731
187,46,7.41,5.02,6.53,84,9.77,55.14,High,Instagram,5.643807574206756,5.643807574206756
188,45,1.78,6.88,5.87,75,3.69,19.91,Medium,Instagram,5.3956639566395665,5.3956639566395665
189,22,10.81,0.86,3.1,54,3.31,27.18,Low,LinkedIn,8.211480362537763,8.211480362537763
190,31,1.34,6.5,5.3,50,9.05,64.58,Low,YouTube,7.135911602209944,7.135911602209944
191,41,9.23,3.46,6.84,89,7.37,32.54,Low,Instagram,4.415196743554953,4.415196743554953
192,17,9.35,1.7,3.54,112,4.11,68.53,Low,Instagram,16.67396593673966,16.67396593673966
193,16,11.48,1.82,5.76,118,3.09,78.04,High,Twitter,25.255663430420714,25.255663430420714
194,27,1.6,7.39,8.96,116,2.6,31.36,High,Snapchat,12.061538461538461,12.061538461538461
195,20,7.57,1.33,7.3,64,3.82,37.28,Low,Twitter,9.759162303664922,9.759162303664922
196,47,5.71,7,6.28,104,2.13,5.96,High,Instagram,2.7981220657276995,2.7981220657276995
197,24,4.64,4.58,6.2,56,2.31,82.16,High,YouTube,35.56709956709957,35.56709956709957
198,34,1.99,0.79,3.26,85,7.99,61.0,Low,Snapchat,7.634543178973717,7.634543178973717
199,31,7.19,3.98,8.74,26,1.57,88.94,High,LinkedIn,56.64968152866242,56.64968152866242
200,18,6.27,6.63,8.57,56,4.95,19.7,Low,Twitter,3.9797979797979797,3.9797979797979797
201,35,2.15,5.95,7.09,54,4.64,96.1,Medium,LinkedIn,20.711206896551726,20.711206896551726
202,39,7.74,4.17,3.59,95,9.64,70.97,High,YouTube,7.3620331950207465,7.3620331950207465
203,48,9.12,6.95,4.25,71,5.19,20.46,Medium,Snapchat,3.9421965317919074,3.9421965317919074
204,39,9.44,1.4,4.1,97,2.45,46.83,Medium,YouTube,19.114285714285714,19.114285714285714
205,26,10.96,7.32,6.12,81,1.8,70.2,Medium,Snapchat,39.0,39.0
206,23,5.5,6.85,4.25,3,7.59,2.68,High,LinkedIn,0.35309617918313574,0.35309617918313574
207,35,11.48,5.81,7.17,64,2.33,78.25,Low,LinkedIn,33.58369098712446,33.58369098712446
208,40,10.52,6.63,6.27,55,9.44,94.82,Low,YouTube,10.044491525423728,10.044491525423728
209,40,4.26,4.58,3.11,52,6.03,9.07,Medium,Snapchat,1.5041459369817578,1.5041459369817578
210,44,2.75,5.56,7.46,43,4.62,89.91,Medium,LinkedIn,19.46103896103896,19.46103896103896
211,33,5.79,4.7,4.13,15,7.16,46.98,Medium,Snapchat,6.56145251396648,6.56145251396648
212,33,5.42,3.17,7.95,93,2.79,52.04,Medium,LinkedIn,18.65232974910394,18.65232974910394
213,17,7.33,4.77,5.13,22,4.44,84.17,High,Instagram,18.957207207207205,18.957207207207205
214,31,7.42,2.43,5.03,30,1.3,59.38,High,LinkedIn,45.676923076923075,45.676923076923075
215,48,9.25,3.8,3.07,27,8.9,35.79,Medium,Instagram,4.021348314606741,4.021348314606741
216,19,6.61,2.61,8.93,49,4.83,73.53,High,YouTube,15.22360248447205,15.22360248447205
217,48,2.15,1.42,6.67,100,7.83,14.69,Medium,Instagram,1.876117496807152,1.876117496807152
218,29,10.44,2.91,5.54,15,9.25,66.96,Low,YouTube,7.238918918918918,7.238918918918918
219,36,4.41,6.89,3.58,40,6.88,77.69,Medium,Instagram,11.292151162790697,11.292151162790697
220,35,11.68,3.36,7.19,8,4.38,34.14,High,YouTube,7.794520547945206,7.794520547945206
221,23,2.3,6.11,4.7,1,6.58,97.05,Low,LinkedIn,14.749240121580547,14.749240121580547
222,22,11.54,1.81,8.93,109,4.24,64.42,High,Twitter,15.193396226415095,15.193396226415095
223,18,2.0,3.68,8.7,42,6.11,10.47,High,Twitter,1.7135842880523733,1.7135842880523733
224,32,3.54,1.36,7.41,65,4.89,96.66,High,Twitter,19.766871165644172,19.766871165644172
225,48,1.51,1.54,8.83,95,2.35,74.66,Low,Instagram,31.770212765957446,31.770212765957446
226,27,8.76,5.13,3.63,79,8.02,69.87,Medium,Twitter,8.71197007481297,8.71197007481297
227,37,10.35,5.06,4.68,116,5.47,26.07,Low,YouTube,4.76599634369287,4.76599634369287
228,37,5.77,2.1,4.52,114,2.71,47.84,Low,Instagram,17.653136531365316,17.653136531365316
229,45,11.21,4.06,3.43,76,9.03,90.2,High,Instagram,9.988925802879292,9.988925802879292
230,23,7.49,6.97,8.83,48,8.68,31.51,Low,LinkedIn,3.6301843317972353,3.6301843317972353
231,42,7.93,1.81,3.36,90,6.03,42.91,Low,YouTube,7.116086235489219,7.116086235489219
232,42,10.3,0.64,8.14,94,9.73,26.42,High,YouTube,2.7153134635149025,2.7153134635149025
233,49,4.26,5.39,7.61,96,9.34,22.37,Medium,LinkedIn,2.3950749464668095,2.3950749464668095
234,36,4.9,0.9,5.26,20,9.07,5.33,Low,Snapchat,0.587651598676957,0.587651598676957
235,45,10.97,7.85,3.11,18,2.2,73.95,High,LinkedIn,33.61363636363636,33.61363636363636
236,48,10.91,5.07,3.04,111,3.65,9.99,Medium,Snapchat,2.736986301369863,2.736986301369863
237,43,11.74,4.03,4.22,56,4.69,53.6,Medium,Twitter,11.428571428571427,11.428571428571427
238,48,10.92,3.72,5.96,76,8.49,5.93,Medium,Twitter,0.6984687868080094,0.6984687868080094
239,20,2.4,4.8,5.75,59,8.84,98.4,Medium,Twitter,11.131221719457015,11.131221719457015
240,34,10.06,1.18,6.51,18,7.76,71.24,Low,Twitter,9.18041237113402,9.18041237113402
241,19,5.51,7.48,7.63,98,5.25,63.41,Low,LinkedIn,12.078095238095237,12.078095238095237
242,32,11.9,5.19,5.26,63,2.46,19.45,High,Twitter,7.90650406504065,7.90650406504065
243,43,6.2,1.88,3.96,34,1.32,53.28,Low,LinkedIn,40.36363636363636,40.36363636363636
244,45,7.09,4.72,7.8,32,7.29,50.85,Low,YouTube,6.9753086419753085,6.9753086419753085
245,44,6.83,1.5,5.0,66,9.95,36.51,Low,YouTube,3.6693467336683416,3.6693467336683416
246,21,4.54,0.63,4.72,111,4.11,16.46,Medium,Instagram,4.004866180048662,4.004866180048662
247,39,1.83,5.23,7.59,84,6.12,37.35,Low,YouTube,6.102941176470589,6.102941176470589
248,44,10.85,5.36,8.6,103,8.3,61.3,High,Snapchat,7.385542168674698,7.385542168674698
249,46,9.83,4.88,8.49,86,2.68,49.25,Low,Snapchat,18.37686567164179,18.37686567164179
250,48,2.53,1.88,3.82,47,8.47,57.43,Medium,Twitter,6.780401416765052,6.780401416765052
251,36,9.54,5.03,6.02,59,6.63,57.63,High,Instagram,8.692307692307693,8.692307692307693
252,47,7.88,0.92,3.56,108,6.13,25.22,Medium,LinkedIn,4.114192495921697,4.114192495921697
253,38,5.5,5.07,8.77,44,7.86,11.99,Low,LinkedIn,1.525445292620865,1.525445292620865
254,48,3.79,4.66,4.29,74,3.17,52.65,High,LinkedIn,16.608832807570977,16.608832807570977
255,18,10.46,5.41,4.18,67,6.53,89.34,Medium,Twitter,13.681470137825421,13.681470137825421
256,33,8.7,7.22,8.33,67,3.16,99.54,Medium,Instagram,31.5,31.5
257,40,7.03,6.88,8.81,14,2.62,78.8,Medium,YouTube,30.076335877862594,30.076335877862594
258,46,7.71,7.85,7.19,91,6.61,22.89,Low,YouTube,3.4629349470499244,3.4629349470499244
259,18,2.0,7.82,3.73,99,3.42,63.4,Low,Twitter,18.538011695906434,18.538011695906434
260,39,6.21,6.29,5.92,71,7.43,24.65,High,Snapchat,3.3176312247644684,3.3176312247644684
261,47,3.13,7.67,7.9,87,5.63,58.07,Medium,LinkedIn,10.314387211367674,10.314387211367674
262,37,3.29,7,6.43,97,7.25,48.59,Medium,Snapchat,6.702068965517242,6.702068965517242
263,38,8.27,5.96,3.8,14,9.02,38.77,High,YouTube,4.298226164079823,4.298226164079823
264,17,11.02,1.07,4.03,22,2.24,64.52,Medium,Twitter,28.803571428571423,28.803571428571423
265,42,5.44,0.87,8.18,59,1.6,85.91,Low,Snapchat,53.693749999999994,53.693749999999994
266,17,3.29,6.78,6.16,90,4.6,34.41,Low,YouTube,7.480434782608696,7.480434782608696
267,41,8.14,4.17,7.24,13,7.45,49.14,High,Twitter,6.595973154362416,6.595973154362416
268,32,10.58,6.61,5.24,116,8.98,46.13,Medium,LinkedIn,5.136971046770602,5.136971046770602
269,48,9.23,2.85,6.19,1,1.31,25.67,Low,Instagram,19.595419847328245,19.595419847328245
270,24,10.56,3.48,8.86,98,8.14,42.69,Low,YouTube,5.244471744471744,5.244471744471744
271,44,6.9,5.75,4.98,42,1.68,3.14,Medium,Instagram,1.8690476190476193,1.8690476190476193
272,41,9.27,7.36,7.05,70,6.23,52.23,High,Twitter,8.383627608346709,8.383627608346709
